File,Thresholding Method,Gini Coefficient,M20 Index,Filamentarity,Gini Std Dev,M20 Std Dev,Filamentarity Std Dev
GalaxyH12.fits,Triangle,0.5556146762037845,-2.0881620125143097,0.20330758599828813,0.3044560668802064,0.3297256718399496,0.10169940607040556
GalaxyH12.fits,Yen,0.3827462329907945,-1.7466464635420351,0.185543692998679,0.3044560668802064,0.3297256718399496,0.10169940607040556
GalaxyH12.fits,MultiOtsu,0.3827462329907945,-1.7466464635420351,0.185543692998679,0.3044560668802064,0.3297256718399496,0.10169940607040556
GalaxyH12.fits,SExtractor,0.647974087961441,-2.498626603005922,0.26580000413960725,0.3044560668802064,0.3297256718399496,0.10169940607040556
GalaxyH13.fits,Isodata,0.3324185353554131,-1.5036075530475712,0.5479205121986102,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH13.fits,Li,0.3579969939891113,-1.5218248944369561,0.4832095374627575,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH13.fits,Mean,0.44953866739868076,-1.6621416111622622,0.5944642279632013,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH13.fits,Minimum,0.046875469511425405,-1.757166492058158,0.03135416507518063,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH13.fits,Otsu,0.31695507125890415,-1.5045426209290034,0.5812765888387631,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH13.fits,Triangle,0.20552442132606324,-1.4311847178395487,0.6492663283933466,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH13.fits,Yen,0.1360202183496243,-1.353356545870165,0.5805648373239055,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH13.fits,MultiOtsu,0.47383471745902317,-1.6664713447834272,0.5455647803510582,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH13.fits,SExtractor,0.3109034126374222,-1.4840449380156207,0.597904766784753,0.1319700852002291,0.12052132747643843,0.17536856783833885
GalaxyH14.fits,Isodata,0.23896419416419384,-1.6064385759447641,0.09672905242750329,0.2067913029530756,0.3125197497865201,0.12394708043598579
GalaxyH14.fits,Li,0.46335327225381495,-1.6807056944888301,0.15100954474686767,0.2067913029530756,0.3125197497865201,0.12394708043598579
GalaxyH14.fits,Mean,0.6977705555313193,-2.2810281910291312,0.2853081398066605,0.2067913029530756,0.3125197497865201,0.12394708043598579
GalaxyH14.fits,Minimum,0.07229301930931573,-1.3576265434558057,-0.14175467671675568,0.2067913029530756,0.3125197497865201,0.12394708043598579
GalaxyH14.fits,Otsu,0.2291900235826381,-1.584101476908989,0.1494061021664077,0.2067913029530756,0.3125197497865201,0.12394708043598579
GalaxyH14.fits,Triangle,0.5800464030188333,-2.020066371426016,0.26260158920023136,0.2067913029530756,0.3125197497865201,0.12394708043598579
GalaxyH14.fits,Yen,0.3566243074544755,-1.6281887334795961,0.11374603113285753,0.2067913029530756,0.3125197497865201,0.12394708043598579
